ts,metric,labels,value
2026-04-23T00:56:39.0121091+02:00,rx_frames_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",13333
2026-04-23T00:56:39.0121091+02:00,tx_frames_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",13013
2026-04-23T00:56:39.0121091+02:00,rx_bytes_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",127824
2026-04-23T00:56:39.0121091+02:00,tx_bytes_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",120877
2026-04-23T00:56:39.0121091+02:00,decode_errors_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,naks_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,timeouts_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,retries_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,reconnects_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,memory_bytes,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,tree_bytes,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,pool_bytes,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,inflight_bytes,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,disk_bytes,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",0
2026-04-23T00:56:39.0121091+02:00,cpu_percent,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",2.3270
2026-04-23T00:56:39.0121091+02:00,uptime_seconds,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider",202.552
2026-04-23T00:56:39.0121091+02:00,rx_cmd_hits_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider";cmd_id=8;cmd_name="rx 008 Dual Controller Status Request",8
2026-04-23T00:56:39.0121091+02:00,tx_cmd_hits_total,addr="0.0.0.0:2008";proto="probel-sw08p";role="provider";cmd_id=8;cmd_name="rx 008 Dual Controller Status Request",0
