ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.6.239.113,acp1,0,identity,0,Card name,string,R--,RRS18,,,,,,,,8,,,,,
10.6.239.113,acp1,0,identity,1,User label,string,RW-,Synapse Simulator,,,,,,,,16,,,,,
10.6.239.113,acp1,0,identity,2,Card description,string,R--,Virtual Rack Controller,,,,,,,,32,,,,,
10.6.239.113,acp1,0,identity,3,Software rev,string,R--,1601,,,,,,,,4,,,,,
10.6.239.113,acp1,0,identity,4,Hardware rev,string,R--,0100,,,,,,,,4,,,,,
10.6.239.113,acp1,0,identity,5,Product code,string,R--,9410070001,,,,,,,,10,,,,,
10.6.239.113,acp1,0,identity,6,Serial number,string,R--,001633,,,,,,,,6,,,,,
10.6.239.113,acp1,0,identity,7,Card ID,string,R--,71ef060a00000000,,,,,,,,16,,,,,
10.6.239.113,acp1,0,control,0,IP_Conf,enum,RW-,1,DHCP,,,,,1,Manual|DHCP,,,,,,
10.6.239.113,acp1,0,control,1,mIP,ipaddr,RW-,10.5.4.125,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,control,2,mNM,ipaddr,RW-,255.255.255.0,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,control,3,mGW,ipaddr,RW-,0.0.0.0,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,control,4,Broadcasts,enum,RW-,1,On,,,,,1,Off|On,,,,,,
10.6.239.113,acp1,0,control,5,Forwarding,enum,RW-,0,Off,,,,,0,Off|On,,,,,,
10.6.239.113,acp1,0,control,6,FW,ipaddr,RW-,0.0.0.0,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,control,7,NetwPrefix,uint,RW-,0,,bits,0,32,1,0,,,,,,,
10.6.239.113,acp1,0,control,8,ErrorThreshold,uint,RW-,10,,,0,255,1,10,,,,,,,
10.6.239.113,acp1,0,control,9,Redund_Pwr_Test,enum,RW-,1,On,,,,,0,Off|On,,,,,,
10.6.239.113,acp1,0,control,10,Trap-Dest_0,enum,RW-,1,On,,,,,0,Off|On,,,,,,
10.6.239.113,acp1,0,control,11,TD_0,ipaddr,RW-,10.6.239.113,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,control,12,Trap-Dest_1,enum,RW-,1,On,,,,,0,Off|On,,,,,,
10.6.239.113,acp1,0,control,13,TD_1,ipaddr,RW-,10.100.0.101,,,0,4294967295,,0,,,,,,,
10.6.239.113,acp1,0,status,0,IP_Addr,enum,R--,1,DHCP-Asking,,,,,1,Manual|DHCP-Asking|DHCP-Leased|DHCP-Infin.,,,,,,
