ip,protocol,slot,oid,path,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.6.40.53,mnset,0,,self.information.asic_slot_00,0,asic_slot_00,string,R--,0x68cd783f,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.asic_slot_01,0,asic_slot_01,string,R--,0xffffffff,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.asic_slot_02,0,asic_slot_02,string,R--,0x6242fdfa,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.asic_version,0,asic_version,string,R--,0xa360e27f,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.base_hw_version,0,base_hw_version,string,R--,4,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.base_type,0,base_type,string,R--,FusioN6,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.bootloader_version,0,bootloader_version,string,R--,1.1.0,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.current_link_speed.e1,0,e1,string,R--,25G,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.current_link_speed.e2,0,e2,string,R--,25G,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.current_version,0,current_version,string,R--,0x68cd783f,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.decap_count,0,decap_count,int,R--,6,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.emsfp_version,0,emsfp_version,string,R--,Axxx,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.encap_count,0,encap_count,int,R--,2,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.input_media.0,0,0,string,R--,st2110,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.input_media.1,0,1,string,R--,sdi,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.management_type,0,management_type,string,R--,NMOS,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.output_media.0,0,0,string,R--,st2110,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.output_media.1,0,1,string,R--,sdi,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.platform_hw_version,0,platform_hw_version,string,R--,400,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.product_id,0,product_id,int,R--,22,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.serial_number,0,serial_number,string,R--,125061600012,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.supported_link_speeds.e1.0,0,0,string,R--,25G,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.supported_link_speeds.e2.0,0,0,string,R--,25G,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.sw_sha1,0,sw_sha1,string,R--,0x2181467c,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.information.type,0,type,string,R--,22 - ST2110 UHD Transceiver,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.api_info.api_version_number,0,api_version_number,string,R--,1,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.asic.asic_reset,0,asic_reset,string,R--,0,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.config.commit,0,commit,string,R--,0,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.config.reset,0,reset,string,R--,0,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.active_gateway,0,active_gateway,string,R--,10.6.40.254,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.active_ip,0,active_ip,string,R--,10.6.40.53,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.active_subnet,0,active_subnet,string,R--,255.255.255.0,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.dhcp_enable,0,dhcp_enable,string,R--,1,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.dhcp_state,0,dhcp_state,string,R--,N/A,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.hostname,0,hostname,string,R--,emsfp-a2-10-0c,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.mac,0,mac,string,R--,40:a3:6b:a2:10:0c,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.static_gateway,0,static_gateway,string,R--,192.168.39.1,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.static_ip,0,static_ip,string,R--,192.168.39.230,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.static_subnet,0,static_subnet,string,R--,255.255.255.0,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.ttl,0,ttl,string,R--,N/A,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.vlan_enable,0,vlan_enable,string,R--,0,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.network.vlan_id,0,vlan_id,string,R--,0,,,,,,,,,,,,,
10.6.40.53,mnset,0,,self.diag.common.stats.clear_stats,0,clear_stats,string,R--,0,,,,,,,,,,,,,
