ip,protocol,endpoint,path,kind,value,min,max,description,unit,enum
10.6.40.53,mnset,self,[0],string,information/,,,,,
10.6.40.53,mnset,self,[1],string,diag/,,,,,
10.6.40.53,mnset,self,[2],string,firmware/,,,,,
10.6.40.53,mnset,self,[3],string,phy/,,,,,
10.6.40.53,mnset,self,[4],string,interfaces/,,,,,
10.6.40.53,mnset,self,[5],string,ipconfig/,,,,,
10.6.40.53,mnset,self,[6],string,static_route/,,,,,
10.6.40.53,mnset,self,[7],string,license/,,,,,
10.6.40.53,mnset,self,[8],string,system/,,,,,
10.6.40.53,mnset,self,[9],string,syslog/,,,,,
10.6.40.53,mnset,self,[10],string,protocols/,,,,,
10.6.40.53,mnset,port,[0],string,1/,,,,,
10.6.40.53,mnset,port,[1],string,2/,,,,,
10.6.40.53,mnset,port,[2],string,3/,,,,,
10.6.40.53,mnset,port,[3],string,4/,,,,,
10.6.40.53,mnset,port,[4],string,5/,,,,,
10.6.40.53,mnset,port,[5],string,6/,,,,,
10.6.40.53,mnset,flows,[0],string,fee338d3-edfe-30ba-812c-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[1],string,cd7b33b3-bfba-1ff0-9e37-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[2],string,33bd4ce3-6fbb-4468-9cbb-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[3],string,f5ef3e4c-7f73-289c-a70b-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[4],string,7377b687-fefb-2feb-83e0-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[5],string,3d7edc6d-7cd9-4162-8d00-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[6],string,7f7c14ae-5fe7-4b09-9cb1-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[7],string,9f7ffb8e-eeff-498d-8d73-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[8],string,f999d2d9-fffd-4fb5-a2c5-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[9],string,7bafe527-75fb-3cb8-8682-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[10],string,dfbe9dee-efbb-1ed0-9d68-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[11],string,6ffe4c45-3efd-3e5e-920d-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[12],string,59d52e04-fbff-1040-938b-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[13],string,ff9ff10f-57eb-4581-9536-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[14],string,6fbf058c-fbdf-344f-996a-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[15],string,bfff0575-6bfe-32e6-a4b7-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[16],string,5fddd212-1ffd-28a1-a069-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[17],string,ee57ce49-ffcf-4ac1-a3ea-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[18],string,3bf570cd-35ff-4f57-8af5-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[19],string,39ed9908-a7de-3c37-9d23-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[20],string,ffafc976-fdde-2108-9b06-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[21],string,1ada16cd-ffbb-283f-9a35-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[22],string,3cae4de0-0fd6-1a4e-8f16-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[23],string,6b1f8cab-fdf3-3de7-8e2a-40a36ba2100c/,,,,,
10.6.40.53,mnset,flows,[24],string,702e36e5-fefc-3184-91de-40a36ba2100c/,,,,,
