ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Card Name,2,Card Name,string,R--,SHPRM1,,,,,,,,17,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Card ID,9,Card ID,string,R--,01ad36371f0000e8,,,,,,,,17,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Product Version,13673,Product Version,string,R--,5.3.5,,,,,,,,129,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Product Code,7,Product Code,string,R--,NEU9520020010,,,,,,,,14,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Serial Number,8,Serial Number,string,R--,PR113951,,,,,,,,17,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Hardware UFP,15524,Hardware UFP,string,R--,0.6.0,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Hardware Version,6,Hardware Version,string,R--,0.7,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Uboot Version,15525,Uboot Version,string,R--,1.1.1,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Recovery Version,15526,Recovery Version,string,R--,2.0.13,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/EEPROM Version,15527,EEPROM Version,string,R--,1,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Position,15238,Position,enum,R--,138,2,,,,,0,0|1|2,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Mode,15531,Mode,string,R--,Application,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/NPF Status,15530,NPF Status,string,R--,,,,,,,,,64,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Subcomponent Version,2996,Subcomponent Version,string,RW-,,,,,,,,,65,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Neighbor IP,15828,Neighbor IP,ipaddr,R--,10.41.40.2,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Neighbor Netmask,47493,Neighbor Netmask,ipaddr,R--,255.255.255.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Neighbor Gateway,47494,Neighbor Gateway,ipaddr,R--,10.41.40.1,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Announcement Rate,17382,Announcement Rate,enum,RW-,198,Off,,,,,60 s,Off|1 s|3 s|10 s|30 s|60 s,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/IO Board,17671,IO Board,enum,R--,120,Present,,,,,NA,NA|Present,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Find my Neuron,21137,Find my Neuron,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Front Panel LED,47427,Front Panel LED,enum,RW-,150,Normal,,,,,Normal,Normal|Pulse Per Second|Heartbeat,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/eMMC Status,47428,eMMC Status,string,R--,Ok,,,,,,,,51,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Debug Mode,47429,Debug Mode,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Download Log,47430,Download Log,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/Download Log Status,47432,Download Log Status,string,R--,Idle,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/BOARD/ACP Trace,47431,ACP Trace,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
