ip,protocol,slot,oid,path,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
127.0.0.1,emberplus,0,1.3.3.4.6.1,dhs-emberplus-integration.nToN.params.4.6.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.3.1,dhs-emberplus-integration.oneToN.targetParams.3.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.11.2,dhs-emberplus-integration.oneToN.targetParams.11.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.4.1.1.24,dhs-emberplus-integration.dynamic.labelsPrimary.targets.t-24,24,t-24,string,RW-,Pri-T24,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.5.13.2,dhs-emberplus-integration.nToN.targetParams.13.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.4.4.86.2,dhs-emberplus-integration.dynamic.targetParams.86.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.4.4.104.2,dhs-emberplus-integration.dynamic.targetParams.104.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.3.1.1.12,dhs-emberplus-integration.nToN.labelsPrimary.targets.t-12,12,t-12,string,RW-,Pri-T12,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.5.0.1,dhs-emberplus-integration.nToN.params.5.0.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.2.2.15,dhs-emberplus-integration.oneToN.labelsSecondary.sources.s-15,15,s-15,string,RW-,Sec-S15,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.0.7.1,dhs-emberplus-integration.nToN.params.0.7.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.5.2.1,dhs-emberplus-integration.nToN.params.5.2.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.9.7.1,dhs-emberplus-integration.nToN.params.9.7.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.1.1.15,dhs-emberplus-integration.nToN.labelsPrimary.targets.t-15,15,t-15,string,RW-,Pri-T15,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.2.1.15,dhs-emberplus-integration.oneToN.labelsSecondary.targets.t-15,15,t-15,string,RW-,Sec-T15,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.2.1.2.14,dhs-emberplus-integration.oneToOne.labelsPrimary.sources.s-14,14,s-14,string,RW-,Pri-S14,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.2.4.10.2,dhs-emberplus-integration.oneToOne.targetParams.10.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.1.4.4.2,dhs-emberplus-integration.oneToN.targetParams.4.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.3.6.4.1,dhs-emberplus-integration.nToN.sourceParams.4.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.2.12.1,dhs-emberplus-integration.nToN.params.2.12.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.2.3,dhs-emberplus-integration.oneToOne.labelsSecondary.sources.s-3,3,s-3,string,RW-,Sec-S3,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.2.1.2.2,dhs-emberplus-integration.oneToOne.labelsPrimary.sources.s-2,2,s-2,string,RW-,Pri-S2,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.4.5.3,dhs-emberplus-integration.dynamic.targetParams.5.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.4.99.3,dhs-emberplus-integration.dynamic.targetParams.99.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.2.2.9,dhs-emberplus-integration.nToN.labelsSecondary.sources.s-9,9,s-9,string,RW-,Sec-S9,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.1.2.7,dhs-emberplus-integration.oneToN.labelsPrimary.sources.s-7,7,s-7,string,RW-,Pri-S7,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.6.0.1,dhs-emberplus-integration.nToN.sourceParams.0.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.8.14.1,dhs-emberplus-integration.nToN.params.8.14.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.3.14.1,dhs-emberplus-integration.nToN.params.3.14.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.15.1.1,dhs-emberplus-integration.nToN.params.15.1.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.1.1.9,dhs-emberplus-integration.oneToOne.labelsPrimary.targets.t-9,9,t-9,string,RW-,Pri-T9,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.4.3.1,dhs-emberplus-integration.nToN.params.4.3.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.12.3.1,dhs-emberplus-integration.nToN.params.12.3.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.2.12,dhs-emberplus-integration.oneToOne.labelsSecondary.sources.s-12,12,s-12,string,RW-,Sec-S12,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.8.3,dhs-emberplus-integration.oneToN.targetParams.8.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.0.3,dhs-emberplus-integration.oneToN.sourceParams.0.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.2.1.3,dhs-emberplus-integration.nToN.labelsSecondary.targets.t-3,3,t-3,string,RW-,Sec-T3,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.6.10.3,dhs-emberplus-integration.nToN.sourceParams.10.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.12.8.1,dhs-emberplus-integration.nToN.params.12.8.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.5.2.1,dhs-emberplus-integration.oneToN.sourceParams.2.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.1.1.119,dhs-emberplus-integration.dynamic.labelsPrimary.targets.t-119,119,t-119,string,RW-,Pri-T119,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.6.9.3,dhs-emberplus-integration.nToN.sourceParams.9.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.6.6.1,dhs-emberplus-integration.nToN.sourceParams.6.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.11.14.1,dhs-emberplus-integration.nToN.params.11.14.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.1.1.4,dhs-emberplus-integration.oneToN.labelsPrimary.targets.t-4,4,t-4,string,RW-,Pri-T4,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.15.2,dhs-emberplus-integration.oneToN.targetParams.15.mode,2,mode,enum,RW-,0,,,,,,,bypass|auto|manual,,,,,,
127.0.0.1,emberplus,0,1.2.5.15.3,dhs-emberplus-integration.oneToOne.sourceParams.15.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.2.1.2,dhs-emberplus-integration.nToN.labelsSecondary.targets.t-2,2,t-2,string,RW-,Sec-T2,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.3.5.12.2,dhs-emberplus-integration.nToN.targetParams.12.mode,2,mode,enum,RW-,0,,,,,,,auto|manual|bypass,,,,,,
127.0.0.1,emberplus,0,1.3.3.1.7.1,dhs-emberplus-integration.nToN.params.1.7.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.3.3.5.9.1,dhs-emberplus-integration.nToN.params.5.9.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.4.64.1,dhs-emberplus-integration.dynamic.targetParams.64.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.2.1,dhs-emberplus-integration.oneToN.targetParams.2.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.4.2.2.24,dhs-emberplus-integration.dynamic.labelsSecondary.sources.s-24,24,s-24,string,RW-,Sec-S24,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.4.4.86.1,dhs-emberplus-integration.dynamic.targetParams.86.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.1.4.12.1,dhs-emberplus-integration.oneToN.targetParams.12.gain,1,gain,int,RW-,0,,,-1000,100,1,,,,,,,,
127.0.0.1,emberplus,0,1.2.2.2.6,dhs-emberplus-integration.oneToOne.labelsSecondary.sources.s-6,6,s-6,string,RW-,Sec-S6,,,,,,,,,,,,,
127.0.0.1,emberplus,0,1.2.5.8.3,dhs-emberplus-integration.oneToOne.sourceParams.8.mute,3,mute,bool,RW-,,,,,,,,,,,,,,
