ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.6.239.113,acp1,2,identity,0,Card name,string,R--,2HF110,,,,,,,,8,,,,,
10.6.239.113,acp1,2,identity,1,User label,string,RW-,Full HD format c,,,,,,,,16,,,,,
10.6.239.113,acp1,2,identity,2,Card description,string,R--,2HF110-4326.html,,,,,,,,16,,,,,
10.6.239.113,acp1,2,identity,3,Software rev,string,R--,4326,,,,,,,,4,,,,,
10.6.239.113,acp1,2,identity,4,Hardware rev,string,R--,0200,,,,,,,,4,,,,,
10.6.239.113,acp1,2,identity,5,Product code,string,R--,9490590010,,,,,,,,10,,,,,
10.6.239.113,acp1,2,identity,6,Serial number,string,R--,PR013274,,,,,,,,16,,,,,
10.6.239.113,acp1,2,identity,7,Card ID,string,R--,71ef060a0000001f,,,,,,,,16,,,,,
10.6.239.113,acp1,2,identity,8,Key,string,RW-,774W-A8X8Q-VF3P,,,,,,,,15,,,,,
10.6.239.113,acp1,2,identity,9,Features,string,R--,400F7C15,,,,,,,,8,,,,,
10.6.239.113,acp1,2,identity,10,HD,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,11,3G,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,12,Audio Shuffler,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,13,ARC,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,14,Up,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,15,Down,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,16,Cross,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,17,Side Curtains,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,18,Frame Delay,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,19,CVBS In,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,20,SDI In 2,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
10.6.239.113,acp1,2,identity,21,TWINS,enum,RW-,0,Option,,,,,0,Option|OK,,,,,,
